ID,ORDER_ID,PRODUCT_ID,QUANTITY
194,47,6,187
195,47,7,163
196,47,16,60
197,47,18,186
198,47,12,22
199,47,17,113
200,48,16,171
201,48,15,49
202,49,16,162
203,49,6,5
204,49,5,125
205,49,3,70
206,50,6,2
207,50,14,67
208,50,7,196
209,50,7,38
210,50,15,133
211,50,14,69
212,51,14,180
213,51,15,12
214,51,18,20
215,51,12,157
216,52,5,5
217,52,11,198
218,52,9,125
219,53,2,47
220,53,12,54
221,53,15,123
222,53,18,46
223,53,11,11
224,54,14,37
225,54,14,49
226,54,17,82
227,54,10,5
228,54,7,122
229,55,17,108
230,55,15,85
231,55,1,159
232,56,17,142
233,56,13,152
234,56,1,103
235,57,15,100
236,57,10,27
237,57,9,24
238,57,7,72
239,57,4,31
240,57,9,91
241,58,6,91
242,58,16,3
243,58,10,21
244,58,8,170
245,58,11,168
246,59,2,151
247,59,9,70
248,59,15,195
249,59,9,85
250,59,7,130
251,59,3,186
252,60,2,25
253,60,17,91
254,60,5,140
255,60,17,80
256,61,11,66
257,61,14,27
258,61,15,167
259,61,6,171
260,61,8,30
261,62,11,196
262,62,13,97
263,62,18,88
264,63,7,138
265,63,4,175
266,64,7,100
267,64,9,120
268,64,11,195
269,65,3,60
270,65,17,82
271,66,1,100
272,66,15,53
273,66,15,55
274,67,8,160
275,67,16,146
276,67,1,132
277,68,2,35
278,68,9,139
279,68,12,61
280,69,2,193
281,69,15,43
282,69,13,57
283,69,6,91
284,70,7,23
285,70,7,45
286,70,8,3
287,70,2,125
288,71,5,34
289,71,3,199
290,72,15,177
291,72,5,69
292,72,15,103
293,72,18,54
294,72,5,106
295,72,11,91
296,73,6,182
297,73,6,147
298,73,7,150
299,73,9,178
300,73,3,1
301,73,9,160
302,74,13,24
303,74,15,134
304,74,15,30
305,74,15,183
306,74,14,105
307,75,16,1
308,75,2,200
309,75,12,182
310,75,5,61
311,75,8,3
312,75,11,33
313,76,18,121
314,76,9,24
315,76,18,45
316,76,5,35
317,76,6,142
318,76,18,65
319,77,9,41
320,77,4,146
321,77,15,34
322,77,11,149
323,78,11,27
324,78,1,7
325,78,8,130
326,78,4,195
327,78,9,109
328,78,11,150
329,79,1,47
330,79,10,176
331,79,16,159
332,79,18,76
333,79,17,45
334,79,3,163
335,80,4,60
336,80,12,39
337,80,4,54
338,80,13,123
339,80,7,186
340,80,13,89
341,81,7,171
342,81,3,194
343,81,1,30
344,82,14,53
345,82,13,116
346,82,14,188
347,82,12,73
348,82,6,149
349,83,7,109
350,83,17,132
351,83,1,200
352,83,18,177
353,83,3,61
354,84,16,134
355,84,5,177
356,84,6,84
357,85,8,149
358,85,4,141
359,85,4,32
360,86,3,77
361,86,10,54
362,86,7,122
363,87,8,1
364,87,9,95
365,87,10,54
366,87,7,6
367,88,17,12
368,88,5,53
369,88,12,139
370,88,14,148
371,88,14,197
372,88,2,107
373,89,11,178
374,89,14,156
375,89,18,143
376,89,9,170
377,89,2,70
378,90,3,30
379,90,16,127
380,90,4,136
381,90,6,155
382,90,18,116
383,90,6,161
384,91,1,197
385,91,16,83
386,91,3,92
387,91,10,186
388,92,3,93
389,92,4,29
390,93,17,110
391,93,9,197
392,93,4,180
393,93,16,103
394,93,9,96
395,94,16,135
396,94,7,103
397,94,15,103
398,94,17,9
399,94,1,82
400,94,13,103
401,95,3,104
402,95,2,187
403,95,10,35
404,95,6,169
405,95,17,122
406,96,17,23
407,96,3,30
408,97,17,132
409,97,12,177
410,97,14,96
411,97,9,123
412,97,18,177
413,98,5,161
414,98,13,143
415,98,16,31
416,98,11,142
417,98,17,49
418,99,16,81
419,99,11,196
420,99,6,149
421,99,13,125
422,99,16,126
423,100,10,145
424,100,5,91
425,100,8,132
426,101,14,197
427,101,4,13
428,101,1,76
429,101,1,110
430,101,16,137
431,102,5,74
432,102,16,118
433,102,9,53
434,103,13,134
435,103,16,54
436,104,1,73
437,104,12,179
438,104,6,58
439,105,2,105
440,105,15,75
441,105,4,117
442,105,18,13
443,105,9,54
444,105,13,107
445,106,17,9
446,106,16,168
447,106,8,36
448,106,2,135
449,106,2,171
450,107,8,147
451,107,17,28
452,107,15,133
453,107,15,72
454,107,1,86
455,107,6,128
456,108,10,160
457,108,5,33
458,109,15,129
459,109,15,151
460,110,14,64
461,110,18,174
462,111,6,5
463,111,16,183
464,111,5,78
465,111,2,103
466,111,7,107
467,111,18,147
468,112,18,77
469,112,11,78
470,112,6,174
471,112,4,175
472,113,1,103
473,113,9,64
474,113,11,7
475,113,7,54
476,113,11,19
477,114,1,161
478,114,7,113
479,114,18,125
480,114,13,193
481,115,9,182
482,115,6,144
483,115,18,104
484,115,3,99
485,115,1,95
486,116,6,130
487,116,9,100
488,116,6,90
489,117,18,101
490,117,6,145
491,117,11,112
492,117,14,190
493,118,5,180
494,118,4,130
495,118,10,107
496,119,7,5
497,119,13,34
498,120,12,189
499,120,3,127
500,121,15,195
501,121,1,51
502,121,6,12
503,121,12,5
504,121,11,20
505,122,12,111
506,122,18,82
507,122,15,53
508,122,9,179
509,123,11,119
510,123,13,165
511,124,16,105
512,124,13,86
513,125,8,137
514,125,15,81
515,125,3,118
516,125,8,81
517,126,2,97
518,126,10,66
519,126,16,78
520,126,4,32
521,126,10,89
522,127,18,105
523,127,15,84
524,127,4,139
525,127,14,174
526,127,12,124
527,128,4,19
528,128,11,67
529,129,18,47
530,129,6,163
531,129,13,183
532,129,11,136
533,129,14,19
534,130,13,89
535,130,12,190
536,130,18,29
537,131,14,33
538,131,18,148
539,131,13,9
540,131,17,124
541,132,14,107
542,132,13,166
543,132,18,122
544,133,3,152
545,133,7,8
546,133,14,106
547,134,3,184
548,134,10,66
549,134,5,112
550,134,11,38
551,135,18,155
552,135,9,35
553,135,17,151
554,135,18,165
555,136,4,165
556,136,2,64
557,136,7,178
558,137,3,139
559,137,2,179
560,138,1,138
561,138,4,140
562,138,4,53
563,138,7,130
564,138,11,166
565,138,2,12
566,139,2,157
567,139,11,123
568,139,12,43
569,139,4,102
570,139,12,199
571,139,6,143
572,140,5,173
573,140,15,159
574,141,9,144
575,141,7,198
576,141,5,51
577,142,16,193
578,142,2,146
579,142,16,82
580,142,1,162
581,142,10,54
582,143,16,178
583,143,7,104
584,143,18,136
585,143,12,180
586,144,5,175
587,144,3,44
588,144,3,139
589,144,13,158
590,144,3,42
591,145,9,88
592,145,8,173
593,145,8,97
594,145,5,98
595,145,11,98
596,146,15,53
597,146,3,60
598,147,11,120
599,147,9,13
600,147,10,69
601,147,12,60
602,148,2,68
603,148,8,195
604,149,9,17
605,149,4,63
606,150,10,158
607,150,17,125
608,150,17,73
609,150,4,138
610,150,14,128
611,151,15,66
612,151,14,172
613,152,2,84
614,152,7,160
615,152,17,181
616,152,9,37
617,152,16,54
618,153,9,182
619,153,1,149
620,153,6,92
621,153,9,42
622,153,14,73
623,154,5,96
624,154,4,172
625,154,11,28
626,154,1,76
627,155,3,3
628,155,4,179
629,155,17,160
630,155,14,140
631,155,15,111
632,155,18,55
633,156,7,125
634,156,11,193
635,156,9,185
636,157,10,49
637,157,18,36
638,157,18,61
639,157,3,147
640,158,15,1
641,158,1,97
642,158,14,83
643,158,18,77
644,159,11,79
645,159,15,7
646,159,4,195
647,159,11,156
648,160,4,106
649,160,1,44
650,160,15,183
651,160,1,55
652,160,6,177
653,160,3,55
654,161,15,191
655,161,14,22
656,161,17,49
657,162,12,102
658,162,4,91
659,162,1,68
660,162,10,200
661,162,16,147
662,162,4,187
663,163,4,93
664,163,3,73
665,163,3,134
666,163,4,47
667,164,8,13
668,164,6,162
669,164,16,175
670,164,12,126
671,165,14,93
672,165,12,69
673,165,12,149
674,165,15,126
675,165,4,84
676,166,3,1
677,166,18,47
678,167,9,182
679,167,2,52
680,167,15,38
681,167,6,192
682,167,8,86
683,168,4,184
684,168,4,103
685,168,14,106
686,168,2,57
687,168,4,167
688,168,3,38
689,169,15,10
690,169,2,50
691,169,10,144
692,170,15,52
693,170,5,86
694,170,11,95
695,171,17,158
696,171,16,14
697,171,18,112
698,172,16,133
699,172,15,72
700,172,9,107
701,173,10,198
702,173,4,72
703,174,8,141
704,174,10,71
705,174,3,77
706,175,12,129
707,175,17,55
708,175,11,29
709,175,3,4
710,175,13,60
711,175,3,4
712,176,10,47
713,176,7,79
714,176,14,160
715,176,17,132
716,176,18,29
717,177,18,34
718,177,12,14
719,177,8,72
720,177,15,113
